corporateprod;eks-nike-tech-01-prod;sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;602401143452.dkr.ecr.sa-east-1.amazonaws.com/amazon-k8s-cni@sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;kube-system;N/A;aws-node-n64g5
corporateprod;eks-nike-tech-01-prod;sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;602401143452.dkr.ecr.sa-east-1.amazonaws.com/amazon-k8s-cni@sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;kube-system;N/A;aws-node-rsl95
corporateprod;eks-nike-tech-01-prod;sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;602401143452.dkr.ecr.sa-east-1.amazonaws.com/amazon-k8s-cni@sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;kube-system;N/A;aws-node-spmrs
corporateprod;eks-nike-tech-01-prod;sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;602401143452.dkr.ecr.sa-east-1.amazonaws.com/amazon-k8s-cni@sha256:4e71a9aaf6e6c5ad0515c8ca04385920a69d8c4588738e5fbaff957d5cf283a5;kube-system;N/A;aws-node-x4zzq
corporateprod;eks-nike-tech-01-prod;sha256:f46687231c2c1bfa139f2b18275b123222c8cf6a288bb9c8145932bd14ac3deb;k8s.gcr.io/autoscaling/cluster-autoscaler@sha256:f46687231c2c1bfa139f2b18275b123222c8cf6a288bb9c8145932bd14ac3deb;kube-system;cluster-autoscaler-aws-cluster-autoscaler-6c5c48ffbb;cluster-autoscaler-aws-cluster-autoscaler-6c5c48ffbb-ktbf9
corporateprod;eks-nike-tech-01-prod;sha256:283e342425558e69cc2e709337347e446d20604f544b2f98dd6f03dab7cd805a;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/coredns@sha256:283e342425558e69cc2e709337347e446d20604f544b2f98dd6f03dab7cd805a;kube-system;coredns-87d7c8c9;coredns-87d7c8c9-2nlfx
corporateprod;eks-nike-tech-01-prod;sha256:283e342425558e69cc2e709337347e446d20604f544b2f98dd6f03dab7cd805a;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/coredns@sha256:283e342425558e69cc2e709337347e446d20604f544b2f98dd6f03dab7cd805a;kube-system;coredns-87d7c8c9;coredns-87d7c8c9-kh4fm
corporateprod;eks-nike-tech-01-prod;sha256:69f580b92c80c38e1339b55ad38043efeb0b721ae4cd351d3ac6685b323b3157;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-attacher@sha256:69f580b92c80c38e1339b55ad38043efeb0b721ae4cd351d3ac6685b323b3157;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-gnwmj
corporateprod;eks-nike-tech-01-prod;sha256:5ad11decb148950bdae987c7f938427a661d7ae60850e6c56f40314392eb7a5f;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-provisioner@sha256:5ad11decb148950bdae987c7f938427a661d7ae60850e6c56f40314392eb7a5f;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-gnwmj
corporateprod;eks-nike-tech-01-prod;sha256:b2eefd692d1b4decf97f5bf785b50bc2b0338a2df66840d2679b6abf28a013cb;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-resizer@sha256:b2eefd692d1b4decf97f5bf785b50bc2b0338a2df66840d2679b6abf28a013cb;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-gnwmj
corporateprod;eks-nike-tech-01-prod;sha256:b52d3e46d63c8991d10858a4c3e2417a2ab84d990ec41036119fc8235697dd8d;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-snapshotter@sha256:b52d3e46d63c8991d10858a4c3e2417a2ab84d990ec41036119fc8235697dd8d;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-gnwmj
corporateprod;eks-nike-tech-01-prod;sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-ebs-csi-driver@sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-gnwmj
corporateprod;eks-nike-tech-01-prod;sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/livenessprobe@sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-gnwmj
corporateprod;eks-nike-tech-01-prod;sha256:69f580b92c80c38e1339b55ad38043efeb0b721ae4cd351d3ac6685b323b3157;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-attacher@sha256:69f580b92c80c38e1339b55ad38043efeb0b721ae4cd351d3ac6685b323b3157;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-vxlhv
corporateprod;eks-nike-tech-01-prod;sha256:5ad11decb148950bdae987c7f938427a661d7ae60850e6c56f40314392eb7a5f;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-provisioner@sha256:5ad11decb148950bdae987c7f938427a661d7ae60850e6c56f40314392eb7a5f;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-vxlhv
corporateprod;eks-nike-tech-01-prod;sha256:b2eefd692d1b4decf97f5bf785b50bc2b0338a2df66840d2679b6abf28a013cb;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-resizer@sha256:b2eefd692d1b4decf97f5bf785b50bc2b0338a2df66840d2679b6abf28a013cb;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-vxlhv
corporateprod;eks-nike-tech-01-prod;sha256:b52d3e46d63c8991d10858a4c3e2417a2ab84d990ec41036119fc8235697dd8d;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-snapshotter@sha256:b52d3e46d63c8991d10858a4c3e2417a2ab84d990ec41036119fc8235697dd8d;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-vxlhv
corporateprod;eks-nike-tech-01-prod;sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-ebs-csi-driver@sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-vxlhv
corporateprod;eks-nike-tech-01-prod;sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/livenessprobe@sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;kube-system;ebs-csi-controller-6b8dfdc68b;ebs-csi-controller-6b8dfdc68b-vxlhv
corporateprod;eks-nike-tech-01-prod;sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-ebs-csi-driver@sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;kube-system;N/A;ebs-csi-node-88kqc
corporateprod;eks-nike-tech-01-prod;sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/livenessprobe@sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;kube-system;N/A;ebs-csi-node-88kqc
corporateprod;eks-nike-tech-01-prod;sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-node-driver-registrar@sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;kube-system;N/A;ebs-csi-node-88kqc
corporateprod;eks-nike-tech-01-prod;sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-ebs-csi-driver@sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;kube-system;N/A;ebs-csi-node-dtkwg
corporateprod;eks-nike-tech-01-prod;sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/livenessprobe@sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;kube-system;N/A;ebs-csi-node-dtkwg
corporateprod;eks-nike-tech-01-prod;sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-node-driver-registrar@sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;kube-system;N/A;ebs-csi-node-dtkwg
corporateprod;eks-nike-tech-01-prod;sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-ebs-csi-driver@sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;kube-system;N/A;ebs-csi-node-dz4fg
corporateprod;eks-nike-tech-01-prod;sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/livenessprobe@sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;kube-system;N/A;ebs-csi-node-dz4fg
corporateprod;eks-nike-tech-01-prod;sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-node-driver-registrar@sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;kube-system;N/A;ebs-csi-node-dz4fg
corporateprod;eks-nike-tech-01-prod;sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-ebs-csi-driver@sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;kube-system;N/A;ebs-csi-node-ntqbq
corporateprod;eks-nike-tech-01-prod;sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/livenessprobe@sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;kube-system;N/A;ebs-csi-node-ntqbq
corporateprod;eks-nike-tech-01-prod;sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-node-driver-registrar@sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;kube-system;N/A;ebs-csi-node-ntqbq
corporateprod;eks-nike-tech-01-prod;sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-ebs-csi-driver@sha256:1564359e1e0e7cb577c77219541c423e782b726f603fde4fcfa0c1eafbc50320;kube-system;N/A;ebs-csi-node-vww65
corporateprod;eks-nike-tech-01-prod;sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/livenessprobe@sha256:5aa45f506d50b63acf32fae45c56e31de7567c5a8c2a55e810db138e7adf0789;kube-system;N/A;ebs-csi-node-vww65
corporateprod;eks-nike-tech-01-prod;sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/csi-node-driver-registrar@sha256:d99f0bb1a918f0b8f144aa1e4785460924af946b1e0bb7a23996780358238951;kube-system;N/A;ebs-csi-node-vww65
corporateprod;eks-nike-tech-01-prod;sha256:e677f72d499e09557e20ba9b5ade9fbbc70b73f658b95226963215eaa9fdb1ad;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/external-provisioner@sha256:e677f72d499e09557e20ba9b5ade9fbbc70b73f658b95226963215eaa9fdb1ad;kube-system;efs-csi-controller-6f75577dbb;efs-csi-controller-6f75577dbb-6d8pb
corporateprod;eks-nike-tech-01-prod;sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-efs-csi-driver@sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;kube-system;efs-csi-controller-6f75577dbb;efs-csi-controller-6f75577dbb-6d8pb
corporateprod;eks-nike-tech-01-prod;sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/livenessprobe@sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;kube-system;efs-csi-controller-6f75577dbb;efs-csi-controller-6f75577dbb-6d8pb
corporateprod;eks-nike-tech-01-prod;sha256:e677f72d499e09557e20ba9b5ade9fbbc70b73f658b95226963215eaa9fdb1ad;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/external-provisioner@sha256:e677f72d499e09557e20ba9b5ade9fbbc70b73f658b95226963215eaa9fdb1ad;kube-system;efs-csi-controller-6f75577dbb;efs-csi-controller-6f75577dbb-mmmm7
corporateprod;eks-nike-tech-01-prod;sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-efs-csi-driver@sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;kube-system;efs-csi-controller-6f75577dbb;efs-csi-controller-6f75577dbb-mmmm7
corporateprod;eks-nike-tech-01-prod;sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/livenessprobe@sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;kube-system;efs-csi-controller-6f75577dbb;efs-csi-controller-6f75577dbb-mmmm7
corporateprod;eks-nike-tech-01-prod;sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/node-driver-registrar@sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;kube-system;N/A;efs-csi-node-4qd9f
corporateprod;eks-nike-tech-01-prod;sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-efs-csi-driver@sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;kube-system;N/A;efs-csi-node-4qd9f
corporateprod;eks-nike-tech-01-prod;sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/livenessprobe@sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;kube-system;N/A;efs-csi-node-4qd9f
corporateprod;eks-nike-tech-01-prod;sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/node-driver-registrar@sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;kube-system;N/A;efs-csi-node-6wccb
corporateprod;eks-nike-tech-01-prod;sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-efs-csi-driver@sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;kube-system;N/A;efs-csi-node-6wccb
corporateprod;eks-nike-tech-01-prod;sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/livenessprobe@sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;kube-system;N/A;efs-csi-node-6wccb
corporateprod;eks-nike-tech-01-prod;sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/node-driver-registrar@sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;kube-system;N/A;efs-csi-node-cgszj
corporateprod;eks-nike-tech-01-prod;sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-efs-csi-driver@sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;kube-system;N/A;efs-csi-node-cgszj
corporateprod;eks-nike-tech-01-prod;sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/livenessprobe@sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;kube-system;N/A;efs-csi-node-cgszj
corporateprod;eks-nike-tech-01-prod;sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/node-driver-registrar@sha256:9cd9ef74078997d4d05f5061b6a4948b54b591bb5152675f45a183c3a1cbbfd8;kube-system;N/A;efs-csi-node-sr75j
corporateprod;eks-nike-tech-01-prod;sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;602401143452.dkr.ecr.sa-east-1.amazonaws.com/eks/aws-efs-csi-driver@sha256:4db1a50a1583c662643b4a24a7940c7e347ef22f3c6f83f825587c3b904abe87;kube-system;N/A;efs-csi-node-sr75j
corporateprod;eks-nike-tech-01-prod;sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;564593125549.dkr.ecr.sa-east-1.amazonaws.com/aws-public/eks-distro/kubernetes-csi/livenessprobe@sha256:d790820d19a6253ee31418be4d1a9ae023d4a6b64c5591f8f031b4194828cc5b;kube-system;N/A;efs-csi-node-sr75j
